id,name,competitionId,falseData
114,DanceNet Kupa - Felnőtt E Standard 2023.12.17,114,0
115,XIII. Ametiszt Kupa - Junior I D LAT 2017.12.03,115,0
116,Nyugat- Magyarország Területi Bajnokság - TB Ifjúsági E LAT 2018.03.03,116,0
117,-  0000.00.00,117,0
118,Közép-Magyarország TB - TB Senior III C Standard 2025.03.02,118,0
119,Budapesti Területi Bajnokság - TB Junior I C LAT 2019.03.02,119,0
120,Balaton Summer Táncverseny - Felnőtt E Standard 2023.08.11,120,0
121,XXI. Zánkai Táncfesztivál - Gyermek II D LAT 2015.08.24,121,0
122,Balaton Summer Táncverseny - Gyermek II D LAT 2022.08.14,122,0
123,"VII. Forma Kupa - Felnőtt ""D"" Standard 2014.04.12",123,0
124,Ritmo Kupa - C OB és Klubközi Táncverseny - Junior II E LAT 2023.11.04,124,0
125,"XIII. RexTerra Kupa - C Országos Bajnokság, U21 Latin Magyar Bajnokság - Junior I D Standard 2017.11.25",125,0
126,II. Universe Kupa - Felnőtt D Standard 2019.05.04,126,0
127,VII. Hatvan Kupa - Junior II Ifjúsági C Standard 2015.05.10,127,0
128,"I. Szoldance Kupa -Hattánc, Nyolctánc Országos Bajnokság és Klubközi Táncverseny - Felnőtt A LAT 2023.02.11",128,0
129,12. Danza Kupa - Ifjúsági B Tíztánc 2020.03.01,129,0
130,Szigo Kupa - Gyermek I E LAT 2018.06.02,130,0
131,V. Sundance Kupa C és B Tíztánc OB - Szóló Junior II. E LAT 2024.04.06,131,0
132,B-A-S és Senior Open Országos Bajnokság és Klubközi Táncverseny - OB Felnőtt A LAT 2024.11.30,132,0
133,TáncSport Magyar Bajnokság 2022 - Senior I  LAT 2022.03.05,133,0
134,Kelet-Magyarország Területi Bajnokság - Junior II. - D Standard 2014.02.22,134,0
135,"Lászlóvill Kupa Senior-Felnőtt-Ifjúsági Latin, Junior Standard, Profi Standard Ranglista és Klubközi Táncverseny - Ifjúsági E Standard 2023.04.22",135,0
136,Balaton Summer Táncverseny - Ifjúsági D Standard 2024.08.09,136,0
137,TáncSport Magyar Bajnokság 2020 - MB Senior I  Standard 2020.10.04,137,0
138,"ISIS DANCE OPEN-Felnőtt-Ifjúsági Tíztánc, Junior Standard, Senior 10 Tánc, Professional Latin ranglista - Ifjúsági B LAT 2018.10.27",138,0
139,"Felnőtt - Ifjúsági Standard, Junior Tíztánc és Professzionista Latin Ranglista Táncverseny - Ifjúsági D Standard 2015.12.12",139,0
140,"Felnőtt-Ifjúsági Standard, Junior Latin, Senior Tíztánc Ranglista és Klubközi Táncverseny - Ifjúsági D LAT 2017.10.07",140,0
141,Kelet-Magyarország Területi Bajnokság - TB Junior I C STT 2015.03.07,141,0
142,Spirit Kupa Kiskunmajsa - Junior I C Standard 2021.10.30,142,0
143,I. Sundance Kupa - Felnőtt D Standard 2017.05.07,143,0
144,11. Danza Kupa - Senior I D Standard 2019.04.06,144,0
145,-  0000.00.00,145,0
146,Ametiszt Kupa - Felnőtt C Standard 2022.10.29,146,0
147,Kelet-Magyarország Területi Bajnokság - TB Senior III D LAT 2017.03.18,147,0
148,Savaria Kupa Klubközi Táncverseny - JN1-C-LAT 2019.06.08,148,1
149,Euroline Kupa Országos Ranglista Táncverseny - Szabadidősport-OB-Senior-III- Standard 2015.03.14,149,0
150,-  0000.00.00,150,0
151,Kelet-Magyarország Területi Bajnokság - TB Senior II Open Standard 2024.03.02,151,0
152,Kelet-Magyarország TB - Szóló Junior II. B LAT 2025.03.01,152,0
153,"iDance2017 - Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi táncverseny - Junior II C LAT 2017.05.20",153,0
154,iDance2019-C Országos Bajnokság és Klubközi Táncverseny - Ifjúsági D STT 2019.11.16,154,0
155,-  0000.00.00,155,0
156,77. DanceNet Kupa - Ifjúsági C Standard 2021.05.29,156,0
157,Nyugat- Magyarország Területi Bajnokság - Szóló Gyermek E LAT 2022.02.19,157,0
158,II. Tenkes Kupa - Junior I-II. Haladó LAT 2014.10.11,158,0
159,VIII. Hatvan Kupa - Junior II D LAT 2016.05.29,159,0
160,XII. Hatvan Kupa - Junior I C LAT 2020.08.30,160,0
161,VIII. Gemenc Kupa - Ifjúsági - Felnőtt Kezdő Stand 2014.03.30,161,0
162,XVI. Hatvan Kupa - Junior II C LAT 2024.05.11,162,0
163,Nyugat-Magyarország Területi Bajnokság - TB Ifjúsági A Standard 2016.03.12,163,0
164,"IV.Eraklin Kupa - Gyerek I. ""E"" Standard 2014.09.20",164,0
165,"III. FULLDANCE KUPA OPEN FORMÁCIÓS RANGLISTA, RISING STAR STANDARD-LATIN ÉS KLUBKÖZI TÁNCVERSENY - Gyermek II E LAT 2016.04.16",165,0
166,XVIII RexTerra Kupa - Junior II D STT 2024.11.16,166,0
167,31. Bem kupa - Junior I E LAT 2019.11.24,167,0
168,"Botafogo Kupa, U21 STT, LAT és  Kűr Magyar Bajnokságok - Szóló Junior II. D LAT 2024.04.28",168,0
169,XIII. FEKETE SAS KUPA - Junior II D LAT 2018.11.18,169,0
170,Közép-Magyarország Területi Bajnokság - Felnőtt A LAT 2021.03.07,170,0
171,-  0000.00.00,171,0
172,XV. Kistelek Open - KOC JUNIOR I OPEN LAT 2018.09.22,172,0
173,Kelet-Magyarország Területi Bajnokság - TB Gyermek II D LAT 2020.03.07,173,1
174,"XIII. Eraklin Kupa- D Országos Bajnokság, Cséplő Dániel Emlékkupa - Szóló Gyermek I. D LAT 2024.10.05",174,0
175,X. Eraklin kupa - Ifjúsági E Standard 2021.10.16,175,0
176,Balaton Summer Táncverseny - Gyermek I E LAT 2022.08.12,176,0
177,I. Nyíri Lajos Emlékverseny és U21 Tíztánc Magyar Bajnokság - Felnőtt B Standard 2016.12.11,177,0
178,"Ametiszt Kupa és Senior-Felnőtt-Ifjúsági tíztánc, Junior latin, Profi standard RL - Szóló Junior D LAT 2023.10.28",178,0
179,Kelet-Magyarország Területi Bajnokság - TB Senior IV Open Standard 2024.03.02,179,0
180,III. Tavaszváró Táncverseny - Junior II E LAT 2019.03.16,180,0
181,"XI FORMA kupa D országos Bajnokság, U 21 Tíztánc Magyar Bajnoksága - Junior II E Standard 2017.10.14",181,0
182,-  0000.00.00,182,0
183,D Országos Bajnokság - Felnőtt C LAT 2016.10.22,183,0
184,IX. Hatvan Kupa - Felnőtt C LAT 2017.05.06,184,0
185,-  0000.00.00,185,0
186,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság - Junior II B LAT 2018.02.17",186,0
187,34. Bem kupa - Ifjúsági B LAT 2023.10.01,187,0
188,"Tíztánc-, Nyolctánc Magyar Bajnokságok - Szóló Junior II. E Standard 2025.03.08",188,0
189,RITMO KUPA - Junior I B LAT 2022.06.04,189,0
190,-  0000.00.00,190,0
191,XIII. Ametiszt Kupa - Gyermek II D LAT 2017.12.03,191,0
192,DanceNet Kupa - Felnőtt C Standard 2023.12.17,192,0
193,Kelet-Magyarország Területi Bajnokság - TB Felnőtt C LAT 2023.02.25,193,0
194,Közép-Magyarország TB - TB Senior I Open Standard 2025.03.02,194,0
195,"X. Forma Kupa és C Országos Bajnokság,U21 Standard és Latin Magyar Bajnokság - MB U21 Standard 2016.12.03",195,0
196,23. Bem Kupa - Felnőtt E Standard 2015.05.17,196,0
197,Kelet Magyarország Területi Bajnokság - TB Felnőtt B LAT 2019.03.02,197,0
198,Balaton Summer Táncverseny - Felnőtt C LAT 2023.08.13,198,0
199,Szigo Kupa - Ranglista Senior  Standard 2021.06.12,199,0
200,C és B Tíztánc Országos Bajnokság és Klubközi Táncverseny - Senior III Open Standard 2018.04.14,200,0
201,Zala Open és Formációs Magyar Bajnokság - Zala Open Felnőtt Lányformáció LAT 2022.10.01,201,0
202,"C Tíztánc Országos Bajnokság, B Tíztánc Országos Bajnokság és Klubközi Táncverseny - Ifjúsági D LAT 2017.04.01",202,0
203,XII. Ritmo Kupa - Ifjúsági E Standard 2015.09.27,203,0
204,VIII. Eraklin Kupa Klubközi és Cséplő Dániel Emlékkupa Szabadidős Táncverseny - Gyermek II E LAT 2018.11.11,204,0
205,"Felnőtt-Ifjúsági standard, Junior tíztánc, Senior standard, Profi latin Ranglista - Junior II D Standard 2024.09.14",205,0
206,XV. RexTerra Kupa - Felnőtt D LAT 2021.11.13,206,0
207,"C Országos Bajnokság, U21 Standard és Latin Magyar Bajnokság és Klubközi Verseny - MB U21 LAT 2015.11.14",207,0
208,VI. Danza Kupa - Gyermek II E Standard 2016.09.18,208,0
209,B-A-S és Senior Open Országos Bajnokság és Klubközi Táncverseny - Szóló Ifjúsági D LAT 2024.11.30,209,0
210,XXIV.Zánkai Táncfesztivál - Gyermek I-II E LAT 2018.08.19,210,0
211,Közép-Magyarország Területi Bajnokság - Szóló Felnőtt D LAT 2024.03.03,211,0
212,"TáncSport Magyar Bajnokság, C és B Tíztánc Országos Bajnokság - MB Gyermek  Standard 2023.04.15",212,0
213,"Felnőtt-Ifi latin, Junior standard, Senior latin, Profi standard - Junior I D Standard 2022.04.24",213,0
214,"iDanceKupa2016 - Felnőtt-Ifjúsági Tíztánc, Junior Latin Ranglista, Professzionista Latin Ranglistaverseny - Felnőtt D Standard 2016.03.19",214,0
215,Spirit Kupa Kiskunmajsa - Felnőtt C Standard 2021.10.30,215,0
216,"Felnőtt - Ifjúsági Standard, Junior Tíztánc és Professzionista Latin Ranglista Táncverseny - Gyermek II C Standard 2015.12.12",216,0
217,XXIV.Zánkai Táncfesztivál - Ifjúsági B LAT 2018.08.19,217,0
218,"ISIS DANCE OPEN-Felnőtt-Ifjúsági Tíztánc, Junior Standard, Senior 10 Tánc, Professional Latin ranglista - Felnőtt A LAT 2018.10.27",218,0
219,Balaton Summer Táncverseny - Senior I D LAT 2024.08.09,219,0
220,"Lászlóvill Kupa Senior-Felnőtt-Ifjúsági Latin, Junior Standard, Profi Standard Ranglista és Klubközi Táncverseny - Felnőtt B Standard 2023.04.22",220,0
221,TáncSport Magyar Bajnokság 2022 - Professzionista Felnőtt  LAT 2022.03.06,221,0
222,Ametiszt Kupa - Junior II B LAT 2024.11.23,222,0
223,28. Bem kupa - Felnőtt E LAT 2018.05.27,223,0
224,XXII. Lászlóvill Kupa - Felnőtt D LAT 2024.04.13,224,0
225,"I. Szoldance Kupa -Hattánc, Nyolctánc Országos Bajnokság és Klubközi Táncverseny - OB Felnőtt E Hattánc 2023.02.11",225,0
226,iDanceKupa 2015 - Felnőtt C LAT 2015.05.09,226,0
227,"XIX.Gála Kupa Felnőtt-Ifjúsági Standard,Junior Latin,Senior Standard Ranglistaverseny és Klubközi Táncverseny - Ifjúsági E LAT 2018.04.22",227,0
228,27. Bem kupa - Felnőtt D LAT 2017.11.18,228,0
229,Ritmo Kupa - C OB és Klubközi Táncverseny - Ifjúsági D LAT 2023.11.04,229,0
230,"VII. Forma Kupa - Felnőtt ""B"" Standard 2014.04.12",230,0
231,Balaton Summer Táncverseny - Senior II E LAT 2022.08.13,231,0
232,XXI. Zánkai Táncfesztivál - Felnőtt D LAT 2015.08.24,232,0
233,Nyugat- Magyarország Területi Bajnokság - TB Felnőtt A LAT 2019.03.02,233,0
234,Balaton Summer Táncverseny - Ifjúsági D Standard 2023.08.11,234,0
235,Nyugat- Magyarország Területi Bajnokság - TB Ifjúsági A LAT 2018.03.03,235,0
236,Nyugat-Magyarország Területi Bajnokság - TB Felnőtt S LAT 2016.03.12,236,0
237,XVI. Hatvan Kupa - Junior II E Standard 2024.05.11,237,0
238,"VIII. Gemenc Kupa E 6Tánc, D 8Tánc OB és U21 Tíztánc Magyar Bajnokság - Junior I. ""D"" LAT 2014.03.29",238,0
239,-  0000.00.00,239,0
240,"E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság és Klubközi Verseny - Felnőtt C Standard 2020.09.12",240,0
241,VIII. Hatvan Kupa - Gyermek II D LAT 2016.05.29,241,0
242,Forma Kupa - D Országos Bajnokság - OB Senior III D Standard 2021.10.02,242,0
243,II. Tenkes Kupa - Gyerek I-II. Lány-Lány Kezdő LAT 2014.10.11,243,0
244,-  0000.00.00,244,0
245,77. DanceNet Kupa - Gyermek II D LAT 2021.05.29,245,0
246,Buda Open International Dance Festival 2018 - OPEN STANDARD SENIOR III 2018.04.28,246,0
247,iDance2019-C Országos Bajnokság és Klubközi Táncverseny - Junior II D LAT 2019.11.16,247,0
248,Kelet-Magyarország TB - Formáció Gyermek Nagyformáció Lány LAT 2025.03.01,248,0
249,IV. Danza Kupa - Felnőtt C LAT 2015.10.18,249,0
250,"iDance2017 - Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi táncverseny - Junior I D LAT 2017.05.20",250,0
251,I. C&M KUPA - Junior II D LAT 2016.10.02,251,0
252,Kelet-Magyarország Területi Bajnokság - Szóló Felnőtt C LAT 2024.03.02,252,0
253,C Országos Bajnokság és Klubközi Táncverseny - OB Felnőtt C Standard 2022.11.05,253,0
254,X. Gemenc Kupa - Junior II. Kezdő LAT 2015.03.22,254,0
255,Savaria Kupa Klubközi Táncverseny - IFI-D-LAT 2019.06.08,255,1
256,"V. Duna Kupa D Országos Bajnokság - Ifjúsági-Felnőtt ""B"" Standard 2014.11.16",256,0
257,Budapest Bajnokság - TB Junior I C Standard 2017.03.18,257,0
258,-  0000.00.00,258,0
259,ISIS Dance - Junior I C Standard 2022.10.22,259,0
260,I. Érdi Kupa - Ifjúsági B LAT 2025.02.02,260,0
261,"SZIGO Kupa Felnőtt-Ifjúsági standard, Junior latin, Senior standard - Junior I C LAT 2019.04.13",261,0
262,-  0000.00.00,262,0
263,RITMO KUPA - Gyermek II E LAT 2022.06.04,263,0
264,"Tíztánc-, Nyolctánc Magyar Bajnokságok - Szóló Felnőtt E Standard 2025.03.08",264,0
265,"U21 Standard, Latin,Kűr Magyar Bajnokság és klubközi táncverseny - F-B-LAT 2019.05.25",265,1
266,"SZIGO Kupa Felnőtt-Ifjúsági standard, Junior latin, Senior standard - GYEREK I KEZDŐ LAT 2019.04.13",266,0
267,IX. Hatvan Kupa - Junior I D LAT 2017.05.06,267,0
268,D Országos Bajnokság - OB Junior I D LAT 2016.10.22,268,0
269,-  0000.00.00,269,0
270,III. Tavaszváró Táncverseny - Ifjúsági C Standard 2019.03.16,270,0
271,Ritmo Kupa - C OB és Klubközi Táncverseny - Gyermek II D LAT 2023.11.04,271,0
272,TáncSport Magyar Bajnokságok 2017 - Junior I Tíztánc Magyar Bajnokság 2017.02.04,272,0
273,X. Eraklin kupa - Ifjúsági C Standard 2021.10.16,273,0
274,XI. Fregolina Kupa - Felnőtt LAT 2014.10.25,274,0
275,Kelet-Magyarország Területi Bajnokság - TB Ifjúsági C LAT 2020.03.07,275,1
276,77. DanceNet Kupa - Senior II E Standard 2021.05.29,276,0
277,-  0000.00.00,277,0
278,Nyugat- Magyarország Területi Bajnokság - Senior I C LAT 2021.03.06,278,0
279,31. Bem kupa - Senior I + III E Standard 2019.11.24,279,0
280,XVIII RexTerra Kupa - Ifjúsági E LAT 2024.11.16,280,0
281,"IX. Kner Kupa - Felnőtt-Ifjúsági Latin, Junior Standard Ranglista Professzionista Standard Ranglista és klubközi táncverseny - Felnőtt D Standard 2016.04.09",281,0
282,Szabadidősport Kelet Magyarország Területi Bajnoksága - Területi Bajnokság Gyerek II. Kezdő LAT 2014.10.11,282,0
283,Szigo Kupa - Felnőtt E LAT 2023.04.01,283,0
284,"C és B Tíztánc, E Hattánc, D Nyolctánc OB és Klubközi Táncverseny - Junior II E LAT 2022.04.09",284,0
285,SAVARIA Nemzetközi Táncverseny - Felnőtt B Standard 2024.12.15,285,0
286,Szőke Tisza 2018. WDSF INTERNATIONAL OPEN Nemzetközi Táncverseny - WDSF JUNIOR II OPEN LAT 2018.06.17,286,0
287,TáncSport Magyar Bajnokságok klubközi verseny - Ifjúsági E LAT 2024.03.23,287,0
288,Botafogo Kupa - C Országos Bajnokság - Junior I D Standard 2021.11.20,288,0
289,iDanceFesztivál2015 - Ifjúsági E Standard 2015.11.15,289,0
290,VIII. Eraklin Kupa Klubközi és Cséplő Dániel Emlékkupa Szabadidős Táncverseny - Felnőtt E LAT 2018.11.11,290,0
291,"E OB, U21 10 Tánc MB és Klubközi Verseny - Felnőtt B LAT 2024.09.07",291,0
292,"Felnőtt-Ifjúsági-Senior standard,Junior tíztánc,Profi latin ranglista, Klubközi táncverseny - RL Felnőtt  Standard 2022.09.24",292,0
293,XII. Kistelek Open - Junior II E LAT 2015.09.19,293,0
294,Kelet Magyarország Területi Bajnokság - TB Junior I D Standard 2019.03.02,294,0
