id,name,location,link
120,Varga Ildikó,Budapest,rozhodca.php?meno=Varga Ildikó&mesto=Budapest
121,Andrea Silvestri,Budapest,rozhodca.php?meno=Andrea Silvestri&mesto=Budapest
122,Vozár Boglárka,Balástya,rozhodca.php?meno=Vozár Boglárka&mesto=Balástya
123,Móczó János,Szeged,rozhodca.php?meno=Móczó János&mesto=Szeged
124,Horváthné Berta Ágota,Szombathely,rozhodca.php?meno=Horváthné Berta Ágota&mesto=Szombathely
125,Chris Zammit,Málta,rozhodca.php?meno=Chris Zammit&mesto=Málta
126,Alberto Valloni,Olaszország,rozhodca.php?meno=Alberto Valloni&mesto=Olaszország
127,Siret Siilak,Ausztria,rozhodca.php?meno=Siret Siilak&mesto=Ausztria
128,Valdis Skutans,Lettország,rozhodca.php?meno=Valdis Skutans &mesto=Lettország
129,Salvatore Todaro,Bulgária,rozhodca.php?meno=Salvatore Todaro&mesto=Bulgária
130,Jean-Luc Habel,Franciaország,rozhodca.php?meno=Jean-Luc Habel&mesto=Franciaország
131,Paraskevi Santorinaiou,Görögország,rozhodca.php?meno=Paraskevi Santorinaiou&mesto=Görögország
132,Oleksandra Myshko,Ukrajna,rozhodca.php?meno=Oleksandra Myshko&mesto=Ukrajna
133,Novák Zsuzsa,Budapest,rozhodca.php?meno=Novák Zsuzsa&mesto=Budapest
134,Závodszky Zsuzsa,Budapest,rozhodca.php?meno=Závodszky Zsuzsa&mesto=Budapest
135,Imre Pavel,Szlovákia,rozhodca.php?meno=Imre Pavel&mesto=Szlovákia
136,Lemákné Szabó Etelka,Budapest,rozhodca.php?meno=Lemákné Szabó Etelka&mesto=Budapest
137,Szalay Attila,Budapest,rozhodca.php?meno=Szalay Attila&mesto=Budapest
138,Ádám Gábor,Szeged - Szentmihály,rozhodca.php?meno=Ádám Gábor&mesto=Szeged - Szentmihály
139,Gellai Tamás,Budapest,rozhodca.php?meno=Gellai Tamás&mesto=Budapest
140,Barna Lilla,Szentes,rozhodca.php?meno=Barna Lilla&mesto=Szentes
