id,name,eventId
9471,1.Forduló,6976
9472,Elődöntő,6976
9473,Döntő,6976
9474,Döntő,6977
9475,6.Forduló,6978
9476,Döntő,6979
9477,Döntő,6980
9478,1.Forduló,6981
9479,Elődöntő,6981
9480,Döntő,6981
9481,Döntő,6983
9482,Elődöntő,6984
9483,Döntő,6984
9484,Döntő,6985
9485,Elődöntő,6986
9486,Döntő,6986
9487,1.Forduló,6987
9488,Elődöntő,6987
9489,Döntő,6987
9490,Döntő,6988
9491,Elődöntő,6989
9492,Döntő,6989
9493,Döntő,6990
9494,Döntő,6991
9495,Döntő,6992
9496,Elődöntő,6993
9497,Döntő,6993
9498,Döntő,6994
9499,Döntő,6995
9500,Döntő,6996
9501,Döntő,6997
9502,Döntő,6998
9503,Döntő,6999
9504,1.Forduló,7000
9505,Elődöntő,7000
9506,Döntő,7000
9507,Döntő,7001
9508,Döntő,7002
9509,Döntő,7003
9510,Döntő,7004
9511,Döntő,7005
9512,Döntő,7006
9513,Döntő,7007
9514,Elődöntő,7008
9515,Döntő,7008
9516,Elődöntő,7009
9517,Döntő,7009
9518,5.Forduló,7010
9519,Döntő,7011
9520,Elődöntő,7013
9521,Döntő,7013
9522,Döntő,7014
9523,Döntő,7015
9524,Döntő,7016
9525,Döntő,7017
9526,Döntő,7018
9527,Elődöntő,7019
9528,Döntő,7019
9529,Döntő,7020
9530,Döntő,7021
9531,Döntő,7022
9532,Döntő,7023
9533,Döntő,7024
9534,1.Forduló,7025
9535,Elődöntő,7025
9536,Döntő,7025
9537,1.Forduló,7026
9538,Elődöntő,7026
9539,Döntő,7026
9540,1.Forduló,7027
9541,Elődöntő,7027
9542,Döntő,7027
9543,Döntő,7028
9544,Döntő,7029
9545,Döntő,7030
9546,Döntő,7031
9547,1.Forduló,7033
9548,Elődöntő,7033
9549,Döntő,7033
9550,Döntő,7034
9551,Döntő,7035
9552,1.Forduló,7036
9553,Elődöntő,7036
9554,Döntő,7036
9555,Elődöntő,7037
9556,Döntő,7037
9557,Döntő,7038
9558,Döntő,7039
9559,Döntő,7040
9560,Döntő,7041
9561,Döntő,7042
9562,Döntő,7043
9563,Elődöntő,7044
9564,Döntő,7044
9565,Döntő,7045
9566,Elődöntő,7046
9567,Döntő,7046
9568,Elődöntő,7047
9569,Döntő,7047
9570,Döntő,7048
9571,Elődöntő,7049
9572,Döntő,7049
9573,Döntő,7050
9574,6.Forduló,7051
9575,Döntő,7052
9576,Döntő,7053
9577,Elődöntő,7054
9578,Döntő,7054
9579,Döntő,7055
9580,Elődöntő,7056
9581,Döntő,7056
9582,Elődöntő,7057
9583,Döntő,7057
9584,Elődöntő,7058
9585,Döntő,7058
9586,Döntő,7059
9587,Döntő,7060
9588,Döntő,7061
9589,Döntő,7062
9590,4.Forduló,7063
9591,Elődöntő,7064
9592,Döntő,7064
9593,Döntő,7065
9594,Döntő,7066
9595,Döntő,7067
9596,Döntő,7068
9597,Döntő,7069
9598,Döntő,7070
9599,Döntő,7071
9600,Elődöntő,7072
9601,Döntő,7072
9602,1.Forduló,7073
9603,2.Forduló,7073
9604,Elődöntő,7073
9605,Döntő,7073
9606,Elődöntő,7074
9607,Döntő,7074
9608,Döntő,7075
9609,Elődöntő,7076
9610,Döntő,7076
9611,Döntő,7077
9612,Döntő,7078
9613,Döntő,7079
9614,Döntő,7080
9615,Döntő,7081
9616,Döntő,7082
9617,Döntő,7083
9618,Döntő,7084
9619,Döntő,7085
9620,Elődöntő,7086
9621,Döntő,7086
9622,Döntő,7087
9623,Döntő,7088
9624,Döntő,7089
9625,Döntő,7090
9626,Döntő,7091
9627,Elődöntő,7092
9628,Döntő,7092
9629,Döntő,7093
9630,Döntő,7094
9631,Döntő,7095
9632,Elődöntő,7096
9633,Döntő,7096
9634,Döntő,7097
9635,Döntő,7098
9636,Elődöntő,7099
9637,Döntő,7099
9638,Döntő,7100
9639,Döntő,7101
9640,Döntő,7102
9641,Döntő,7103
9642,Döntő,7104
9643,Döntő,7105
9644,Döntő,7106
9645,Section 1,7107
9646,Döntő,7108
9647,Elődöntő,7109
9648,Döntő,7109
9649,Elődöntő,7110
9650,Döntő,7110
9651,Döntő,7111
9652,Döntő,7112
9653,Elődöntő,7113
9654,Döntő,7113
9655,1.Forduló,7114
9656,Elődöntő,7114
9657,Döntő,7114
9658,Döntő,7115
9659,Döntő,7116
9660,Döntő,7117
9661,Döntő,7118
9662,Döntő,7119
9663,Döntő,7120
9664,Döntő,7121
9665,Döntő,7122
9666,4.Forduló,7123
9667,Döntő,7124
9668,Döntő,7125
9669,Döntő,7126
9670,Elődöntő,7127
9671,Döntő,7127
9672,Elődöntő,7128
9673,Döntő,7128
9674,5.Forduló,7129
9675,1.Forduló,7130
9676,Elődöntő,7130
9677,Döntő,7130
9678,Elődöntő,7131
9679,Döntő,7131
9680,Döntő,7132
9681,Döntő,7133
9682,Döntő,7134
9683,Döntő,7135
9684,Elődöntő,7136
9685,Döntő,7136
9686,Elődöntő,7137
9687,Döntő,7137
9688,Section 1,7138
9689,Döntő,7139
9690,Döntő,7140
9691,Döntő,7141
9692,Döntő,7142
9693,Döntő,7143
9694,Döntő,7144
9695,Döntő,7145
9696,Döntő,7146
9697,Döntő,7147
9698,Döntő,7148
9699,Elődöntő,7149
9700,Döntő,7149
9701,Döntő,7150
9702,Döntő,7151
9703,Elődöntő,7152
9704,Döntő,7152
9705,Elődöntő,7153
9706,Döntő,7153
9707,Döntő,7154
9708,Döntő,7155
9709,Döntő,7156
9710,Döntő,7157
9711,Döntő,7158
9712,Döntő,7159
9713,Döntő,7160
9714,Döntő,7161
9715,6.Forduló,7162
9716,Döntő,7163
9717,Döntő,7164
9718,1.Forduló,7165
9719,Elődöntő,7165
9720,Döntő,7165
9721,Elődöntő,7166
9722,Döntő,7166
9723,Döntő,7167
9724,Döntő,7168
9725,Elődöntő,7169
9726,Döntő,7169
9727,Döntő,7170
9728,Döntő,7171
9729,Döntő,7172
9730,Döntő,7173
9731,Elődöntő,7174
9732,Döntő,7174
9733,Elődöntő,7175
9734,Döntő,7175
9735,Elődöntő,7176
9736,Döntő,7176
9737,Elődöntő,7177
9738,Döntő,7177
9739,Elődöntő,7178
9740,Döntő,7178
9741,Döntő,7179
9742,Döntő,7180
9743,Elődöntő,7181
9744,Döntő,7181
9745,Döntő,7182
9746,Döntő,7183
9747,Döntő,7184
9748,Döntő,7185
9749,Döntő,7186
9750,Döntő,7187
9751,Döntő,7188
9752,Döntő,7189
9753,Elődöntő,7190
9754,Döntő,7190
9755,Döntő,7191
9756,Döntő,7192
9757,Döntő,7193
9758,Döntő,7194
9759,Döntő,7195
9760,Döntő,7196
9761,Elődöntő,7197
9762,Döntő,7197
9763,1.Forduló,7198
9764,2.Forduló,7198
9765,Elődöntő,7198
9766,Döntő,7198
9767,Döntő,7199
9768,Döntő,7200
9769,Döntő,7201
9770,Döntő,7202
9771,Döntő,7203
9772,Elődöntő,7204
9773,Döntő,7204
9774,4.Forduló,7205
9775,1.Forduló,7206
9776,Elődöntő,7206
9777,Döntő,7206
9778,Döntő,7207
9779,Elődöntő,7208
9780,Döntő,7208
9781,Elődöntő,7209
9782,Döntő,7209
9783,Döntő,7210
9784,Section 1,7211
9785,Elődöntő,7212
9786,Döntő,7212
9787,Döntő,7213
9788,1.Forduló,7214
9789,Elődöntő,7214
9790,Döntő,7214
9791,Döntő,7215
9792,Döntő,7217
9793,Elődöntő,7218
9794,Döntő,7218
9795,Döntő,7219
9796,Elődöntő,7220
9797,Döntő,7220
9798,Elődöntő,7221
9799,Döntő,7221
9800,Döntő,7222
9801,Elődöntő,7223
9802,Döntő,7223
9803,1.Forduló,7224
9804,Elődöntő,7224
9805,Döntő,7224
9806,Döntő,7225
9807,Döntő,7226
9808,Döntő,7227
9809,Döntő,7228
9810,1.Forduló,7229
9811,Reményfutam után,7229
9812,2.Forduló,7229
9813,Elődöntő,7229
9814,Döntő,7229
9815,1.Forduló,7230
9816,Elődöntő,7230
9817,Döntő,7230
9818,Döntő,7231
9819,Döntő,7232
9820,Elődöntő,7233
9821,Döntő,7233
9822,Döntő,7235
9823,Döntő,7236
9824,Döntő,7237
9825,Elődöntő,7238
9826,Döntő,7238
9827,Döntő,7239
9828,Elődöntő,7240
9829,Döntő,7240
9830,Elődöntő,7241
9831,Döntő,7241
9832,Döntő,7243
9833,Döntő,7244
9834,6.Forduló,7246
9835,Döntő,7247
9836,Döntő,7248
