A,B
358,10
358,93
359,25
359,100
359,105
359,32
359,70
360,110
360,108
360,74
360,4
360,120
361,164
361,119
361,113
363,140
363,174
363,289
363,290
363,291
363,173
363,122
364,132
364,292
364,276
364,129
364,236
364,131
364,234
364,259
364,293
364,294
364,136
365,157
365,37
365,119
365,95
365,3
366,14
366,18
366,75
366,38
366,19
366,88
366,29
366,23
366,93
367,14
367,153
367,149
367,295
367,8
368,117
368,7
368,123
368,56
368,59
369,110
369,92
369,37
369,74
369,164
369,2
369,112
370,57
370,170
370,14
370,38
370,113
370,36
370,115
370,62
370,58
371,96
371,24
371,177
371,208
371,8
372,165
372,54
372,173
372,174
372,30
373,175
373,18
373,100
373,39
373,4
373,41
373,16
374,28
374,172
374,153
374,75
374,15
375,138
375,142
375,22
375,35
375,98
375,171
375,170
375,160
375,28
376,4
376,92
376,58
376,2
376,22
376,168
376,195
377,51
377,30
377,52
377,125
377,65
377,126
377,127
377,128
377,129
377,136
377,105
378,30
378,165
378,89
378,107
378,153
378,96
378,33
379,142
379,149
379,92
379,37
379,112
379,113
379,194
380,73
380,95
380,61
380,16
380,99
381,169
381,12
381,25
381,98
381,37
381,153
381,73
382,136
382,116
382,123
382,240
382,109
382,94
382,4
383,7
383,13
383,117
383,95
383,171
384,296
384,149
384,25
384,166
384,19
384,174
384,61
385,21
385,13
385,100
385,116
385,98
386,4
386,103
386,11
386,297
386,116
386,119
386,148
387,163
387,190
387,172
387,33
387,6
388,103
388,15
388,58
388,14
388,34
389,56
389,240
389,21
389,153
389,52
389,238
389,61
390,8
390,6
390,10
390,119
390,217
391,182
391,12
391,183
391,184
391,136
391,165
391,10
391,16
391,62
392,36
392,193
392,19
392,30
392,122
393,298
393,299
393,20
393,28
393,163
394,8
394,97
394,50
394,107
394,108
395,195
395,148
395,3
395,23
395,89
396,74
396,244
396,69
396,97
396,55
398,155
398,117
398,100
398,59
398,56
399,206
399,21
399,214
399,29
399,52
399,215
399,216
400,70
400,215
400,123
400,137
400,93
400,33
400,36
401,300
401,163
401,52
401,299
401,17
402,8
402,97
402,164
402,107
402,26
403,179
403,7
403,4
403,89
403,88
404,138
404,104
404,268
404,8
404,7
406,208
406,155
406,74
406,1
406,21
407,180
407,75
407,211
407,58
407,38
407,29
407,194
408,108
408,14
408,38
408,39
408,115
408,118
408,18
408,59
408,53
409,8
409,116
409,153
409,169
409,55
409,25
409,39
410,139
410,195
410,60
410,148
410,10
411,286
411,106
411,170
411,109
411,100
411,30
411,111
412,180
412,157
412,28
412,53
412,34
412,52
412,122
413,28
413,12
413,10
413,58
413,190
414,41
414,111
414,197
414,173
414,198
415,107
415,73
415,18
415,56
415,120
416,149
416,100
416,116
416,113
416,32
417,33
417,20
417,15
417,34
417,32
417,23
417,35
418,156
418,1
418,74
418,203
418,119
418,56
418,41
419,74
419,103
419,211
419,58
419,289
420,75
420,20
420,123
420,301
420,55
421,51
421,149
421,33
421,3
421,113
422,28
422,29
422,18
422,51
422,13
422,19
422,17
422,20
422,21
423,51
423,95
423,240
423,61
423,103
424,1
424,3
424,22
424,10
424,23
424,2
424,16
425,165
425,111
425,211
425,107
427,89
427,33
427,287
427,2
427,190
428,24
428,7
428,6
428,119
428,42
428,155
428,13
429,75
429,118
429,22
429,112
429,58
429,228
429,229
430,180
430,157
430,218
430,37
430,20
430,113
430,31
431,166
431,105
431,50
431,122
431,59
431,3
431,153
432,36
432,98
432,55
432,74
432,88
433,266
433,302
433,303
433,304
433,305
433,306
433,233
433,131
433,234
433,44
433,307
433,308
433,236
434,25
434,195
434,309
434,56
434,50
434,4
434,194
435,70
435,174
435,50
435,310
435,59
436,11
436,70
436,50
436,24
436,167
437,55
437,43
437,51
437,52
437,28
438,35
438,22
438,52
438,217
438,5
438,160
438,32
439,110
439,92
439,37
439,74
439,164
439,2
439,112
440,139
440,195
440,4
440,310
440,89
441,33
441,56
441,59
441,35
441,75
441,201
441,105
442,153
442,139
442,95
442,149
442,79
443,63
443,108
443,311
443,58
443,112
444,74
444,32
444,14
444,139
444,13
444,106
444,59
445,312
445,313
445,78
445,314
445,65
445,315
445,266
446,316
446,7
446,25
446,117
446,160
447,142
447,156
447,86
447,56
447,52
447,5
447,89
448,87
448,164
448,118
448,56
448,50
449,104
449,7
449,149
449,166
449,37
450,182
450,36
450,255
450,35
450,55
451,165
451,43
451,155
451,97
451,117
451,111
451,25
452,19
452,37
452,217
452,17
452,92
453,60
453,138
453,107
453,169
453,6
453,105
453,43
453,35
453,33
454,147
454,8
454,112
454,10
454,1
455,28
455,1
455,33
455,211
455,144
456,18
456,161
456,162
456,163
456,13
457,166
457,20
457,59
457,43
457,49
458,317
458,318
458,319
458,320
458,321
458,77
458,322
458,276
458,323
458,46
458,324
459,165
459,54
459,169
459,179
459,101
460,92
460,1
460,19
460,88
460,118
461,32
461,41
461,101
461,42
461,31
462,138
462,55
462,42
462,96
462,180
463,28
463,122
463,53
463,59
463,210
464,10
464,52
464,112
464,37
464,14
465,41
465,8
465,73
465,149
465,178
466,180
466,157
466,218
466,37
466,20
466,113
466,31
467,30
467,19
467,109
467,14
467,106
467,4
467,117
468,30
468,138
468,51
468,191
468,56
469,101
469,102
469,103
469,104
469,105
469,106
469,6
470,316
470,7
470,25
470,117
470,160
471,268
471,8
471,7
471,13
471,119
472,199
472,325
472,177
472,41
472,11
473,326
473,327
473,262
473,135
473,328
473,329
473,30
473,21
473,52
473,158
473,163
474,41
474,14
474,109
474,330
474,259
475,180
475,170
475,105
475,14
475,184
475,20
475,10
475,196
475,62
475,115
475,30
476,73
476,26
476,3
476,61
476,8
477,28
477,101
477,165
477,1
477,167
477,17
477,119
478,138
478,8
478,195
478,5
478,41
479,211
479,184
479,56
479,36
479,61
479,167
479,238
480,108
480,109
480,53
480,174
480,10
480,30
480,122
481,36
481,149
481,92
481,38
481,113
482,19
482,58
482,93
482,60
482,210
483,7
483,55
483,56
483,106
483,75
483,61
483,196
484,36
484,37
484,38
484,39
484,40
484,41
484,42
485,19
485,138
485,10
485,59
485,1
486,33
486,30
486,1
486,55
486,50
486,105
486,51
486,139
486,109
487,20
487,122
487,9
487,61
487,123
488,50
488,110
488,53
488,38
488,164
488,331
488,332
488,175
488,57
489,153
489,12
489,39
489,73
489,54
491,1
491,22
491,10
491,23
491,24
492,149
492,100
492,164
492,97
492,333
493,110
493,142
493,149
493,92
493,37
493,113
493,194
494,7
494,25
494,37
494,33
494,174
495,21
495,16
495,42
495,93
495,105
496,100
496,109
496,4
496,31
496,33
496,51
496,61
497,30
497,52
497,53
497,43
497,54
498,32
498,16
498,21
498,50
498,51
498,1
498,33
498,106
498,170
499,190
499,165
499,103
499,8
499,49
500,7
500,54
500,116
500,3
500,61
501,12
501,14
501,73
501,244
501,74
502,156
502,1
502,74
502,203
502,119
502,56
502,41
503,28
503,119
503,29
503,30
503,31
504,29
504,334
504,157
504,59
504,335
505,50
505,51
505,33
505,106
505,170
506,50
506,110
506,53
506,38
506,164
506,331
506,332
506,175
506,57
507,42
507,141
507,30
507,142
507,6
508,25
508,98
508,38
508,30
508,99
509,28
509,101
509,165
509,1
509,167
509,17
509,119
510,28
510,1
510,195
510,88
510,183
510,17
510,32
511,208
511,56
511,58
511,117
511,27
512,44
512,259
512,232
512,276
512,131
512,336
512,337
513,191
513,152
513,13
513,55
513,338
513,136
513,105
514,139
514,213
514,157
514,37
514,18
514,100
514,29
515,94
515,95
515,96
515,74
515,97
516,1
516,26
516,164
516,339
516,3
517,340
517,222
517,219
517,122
517,32
518,8
518,6
518,18
518,74
518,120
519,204
519,8
519,30
519,73
519,239
520,262
520,341
520,305
520,342
520,46
520,343
520,233
520,344
520,345
520,170
520,160
521,30
521,165
521,107
521,96
521,33
522,296
522,149
522,19
522,50
522,346
523,101
523,6
523,155
523,173
523,61
524,107
524,177
524,166
524,14
524,31
525,160
525,163
525,103
525,105
525,106
526,57
526,170
526,14
526,38
526,113
526,36
526,115
526,62
526,58
527,60
527,117
527,7
527,123
527,56
527,103
527,59
527,106
527,62
528,110
528,92
528,37
528,164
528,2
528,62
528,112
529,25
529,14
529,38
529,309
529,50
529,4
529,194
530,107
530,8
530,14
530,101
530,116
531,55
531,10
531,123
531,202
531,242
532,147
532,36
532,35
532,74
532,50
532,29
532,115
532,93
532,89
534,103
534,43
534,170
534,18
534,163
534,105
534,51
535,108
535,109
535,166
535,53
535,174
535,10
535,291
536,180
536,14
536,117
536,116
536,20
536,56
536,113
537,30
537,347
537,348
537,349
537,350
537,351
537,352
538,155
538,31
538,153
538,107
538,100
539,35
539,164
539,23
539,120
539,228
540,166
540,100
540,52
540,291
540,59
541,185
541,186
541,187
541,74
541,188
542,180
542,218
542,74
542,38
542,20
542,113
542,31
543,155
543,34
543,31
543,153
543,107
543,100
543,19
543,59
543,165
544,87
544,1
544,164
544,119
544,113
545,153
545,54
545,119
545,23
545,353
546,105
546,89
546,148
546,99
546,62
547,51
547,256
547,289
547,96
547,12
548,139
548,38
548,52
548,75
549,1
549,75
549,56
549,2
549,32
550,28
550,74
550,26
550,38
550,3
550,58
550,30
551,21
551,20
551,136
551,18
551,51
551,30
551,161
551,162
551,147
551,163
551,13
552,110
552,147
552,98
552,18
552,28
552,75
552,30
552,74
552,112
553,53
553,163
553,62
553,32
553,1
553,41
554,119
554,117
554,33
554,167
554,151
555,110
555,18
555,74
555,98
555,164
555,29
555,115
556,180
556,36
556,6
556,98
556,30
556,42
556,115
557,8
557,6
557,74
557,164
557,4
558,255
558,14
558,123
558,211
558,10
558,49
558,354
559,29
559,109
559,74
559,100
559,96
560,205
560,73
560,195
560,97
560,4
561,142
561,86
561,6
561,52
561,5
561,59
561,89
562,169
562,12
562,25
562,98
562,37
562,153
562,73
563,110
563,142
563,149
563,92
563,38
563,112
563,113
564,7
564,25
564,37
564,33
564,20
565,1
565,22
565,10
565,23
565,24
566,277
566,78
566,129
566,355
566,43
567,101
567,30
567,116
567,123
567,109
567,94
567,4
568,33
568,30
568,1
568,55
568,50
568,105
568,51
568,139
568,109
569,19
569,138
569,10
569,59
569,1
570,87
570,35
570,38
570,39
570,40
570,41
570,42
571,7
571,106
571,75
571,116
571,20
571,61
571,196
572,100
572,30
572,138
572,238
572,51
572,191
572,56
573,191
573,152
573,13
573,55
573,338
573,136
573,105
574,108
574,109
574,174
574,10
574,291
574,30
574,122
575,211
575,184
575,56
575,36
575,61
576,149
576,55
576,100
576,19
576,105
576,50
576,30
577,28
577,101
577,165
577,1
577,167
577,17
577,119
578,180
578,147
578,105
578,184
578,20
578,62
578,115
579,270
579,271
579,272
579,273
579,46
579,274
579,275
579,356
579,277
579,278
579,279
580,39
580,50
580,113
580,62
580,115
580,93
580,44
580,357
580,358
580,321
580,359
580,360
580,132
581,199
581,325
581,177
581,41
581,11
582,166
582,14
582,18
582,52
582,12
582,173
582,160
582,170
582,169
583,316
583,8
583,7
583,13
583,160
584,28
584,109
584,20
584,53
584,213
584,62
584,118
585,190
585,361
585,7
585,150
585,153
586,1
586,26
586,339
586,3
586,30
587,124
587,362
587,74
588,213
588,157
588,37
588,18
588,100
588,109
588,291
589,268
589,8
589,7
589,13
589,119
590,191
590,152
590,13
590,55
590,338
590,136
590,105
591,87
591,246
591,53
591,30
591,16
591,115
591,118
592,43
592,63
592,64
592,65
592,66
592,67
592,68
593,363
593,44
593,364
593,78
593,306
593,365
593,366
593,367
593,368
593,369
593,370
593,371
593,259
594,28
594,1
594,195
594,88
594,183
594,17
594,32
