id,title,date,location
6195,XXII. Lászlóvill Kupa - Junior I D LAT 2024.04.13,2024.04.13,Wekerle Sándor Szabadidőközpont Mór
6196,28. Bem kupa - Junior II D Standard 2018.05.27,2018.05.27,Mogyoród
6197,XVI. FEKETE SAS KUPA - Felnőtt B LAT 2021.11.06,2021.11.06,"6800 HÓDMEZŐVÁSÁRHELY, KOSSUTH TÉR 3"
6198,24. Bem kupa - Felnőtt D Standard 2015.12.06,2015.12.06,Budapest
6199,-  0000.00.00,0000.00.00,
6200,C és B Tíztánc Országos Bajnokság és Klubközi Táncverseny - Junior II E Standard 2016.04.02,2016.04.02,Szekszárd
6201,"ISIS DANCE OPEN-Felnőtt-Ifjúsági Tíztánc, Junior Standard, Senior 10 Tánc, Professional Latin ranglista - Gyermek II E Standard 2018.10.27",2018.10.27,Szombathely
6202,Balaton Summer Táncverseny - Szóló Ifjúsági D LAT 2024.08.09,2024.08.09,"8700 Marcali, Park utca 16"
6203,"II. Pro-Art Grand Prix U21 Standard MB - Felnőtt ""E"" LAT 2014.09.13",2014.09.13,Kistelek
6204,XIV. Hatvan Kupa - Junior II C LAT 2022.05.07,2022.05.07,"3000. Hatvan, Balassi Bálint út 2"
6205,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság - Szabadidősport - Junior I-II - Ifjúsági Lány Szóló Kezdő LAT 2018.02.17",2018.02.17,Kozármisleny
6206,Kelet-Magyarország Területi Bajnokság - TB Felnőtt E Standard 2017.03.18,2017.03.18,Szentes
6207,XX. Lászlóvill Kupa - Ifjúsági D Standard 2022.05.21,2022.05.21,"Székesfehérvár, Verseci u. 1-15"
6208,"ISIS DANCE OPEN: Felnőtt-Ifjúsági Tíztánc ranglista, Junior Standard ranglista - Gyerek I-II. Haladó LAT 2015.10.17",2015.10.17,Szombathely
6209,Hungarian Open - Gyermek II - Junior I D LAT 2017.11.11,2017.11.11,Budapest
6210,11. Danza Kupa - Ifjúsági D LAT 2019.04.06,2019.04.06,Budapest
6211,Kelet-Magyarország Területi Bajnokság - TB Ifjúsági D LAT 2024.03.02,2024.03.02,"5440 Kunszentmárton, Kossuth Lajos utca 40"
6212,"iDance2017 - Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi táncverseny - Senior Standard Ranglista 2017.05.20",2017.05.20,Kozármisleny
6213,-  0000.00.00,0000.00.00,
6214,Euroline Kupa Országos Ranglista Táncverseny - Junior I D LAT 2015.03.14,2015.03.14,Szolnok
6215,"Ametiszt Kupa és Senior-Felnőtt-Ifjúsági tíztánc, Junior latin, Profi standard RL - Felnőtt C LAT 2023.10.28",2023.10.28,Kaposvár Városi Sportcsarnok
6216,"Felnőtt-ifjúsági Tíztánc, Junior Standard, Senior Tíztánc és Professzionista Latin Ranglista verseny - Junior II D Standard 2018.02.24",2018.02.24,Algyő
6217,XI. Hatvan Kupa - JN2-E-LAT 2019.06.02,2019.06.02,"3000. Hatvan, Balassi Bálint út 2."
6218,"SZIGO Kupa Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi Táncverseny - Felnőtt D LAT 2016.05.21",2016.05.21,Szentlőrinc
6219,XIV. Ritmo Kupa Klubközi és Szabadidős Táncverseny - Gyermek II E Standard 2018.09.29,2018.09.29,Pécs
6220,"II. Danza Kupa - Senior ""D"" LAT 2014.10.11",2014.10.11,Budapest
6221,"Tíztánc MB, Nyolctánc MB - Magyar bajnokság Ifjúsági Tíztánc 2021.05.22",2021.05.22,6600 Szentes Jövendő utca 1
6222,-  0000.00.00,0000.00.00,
6223,"Senior-Felnőtt-Ifjúsági Tíztánc, Junior Standard, Profi Latin RL és Klubközi verseny - Ifjúsági C LAT 2024.06.01",2024.06.01,"6640 Csongrád, Gyöngyvirág u. 16/A"
6224,XIV. Fekete Sas Kupa - Junior I D LAT 2019.11.10,2019.11.10,"6800. Hódmezővásárhely, Kossuth tér 3."
6225,Nyugat-Magyarország Területi Bajnokság - TB Junior I C LAT 2016.03.12,2016.03.12,Kaposmérő
6226,"VI. Kner Kupa C és B Tíztánc OB és Klubközi Táncverseny - Gyerek II. ""C"" Tíztánc OB 2014.04.05",2014.04.05,Mezőtúr
6227,Ritmo Kupa - Ifjúsági B Standard 2024.11.09,2024.11.09,"7624 Pécs, Ifjúság útja 6"
6228,Kelet-Magyarország Területi Bajnokság - TB Senior IV Open LAT 2020.03.07,2020.03.07,Algyői Fehér Ignác Általános Iskola Sportcsarnoka
6229,II. Sundance Kupa - D Országos Bajnokság - Junior I E LAT 2018.10.06,2018.10.06,Baja
6230,Nyugat- Magyarország Területi Bajnokság - Junior I D LAT 2021.03.06,2021.03.06,7400 Kaposvár Arany János út 97
6231,XIV. Ametiszt Kupa - Junior I E LAT 2019.11.23,2019.11.23,7400 Kaposvár Arany János út 97
6232,"IX. Kner Kupa - Felnőtt-Ifjúsági Latin, Junior Standard Ranglista Professzionista Standard Ranglista és klubközi táncverseny - Ifjúsági E Standard 2016.04.09",2016.04.09,Mezőtúr
6233,"XI. RexTerra Kupa U21 Latin MB - Felnőtt ""C"" Standard 2014.09.28",2014.09.28,Kiskunhalas
6234,-  0000.00.00,0000.00.00,
6235,Tíztánc MB. Nyolctánc MB. - MB Felnőtt Tíztánc 2019.02.09,2019.02.09,Szentes
6236,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság - OB Junior II D 8T 2016.03.06",2016.03.06,Komló
6237,"VILÁGTÁNCFESZTIVÁL - FELNŐTT-IFJÚSÁGI LATIN, JUNIOR STANDARD, SENIOR LATIN, PROFESSZIONISTA STANDARD RANGLISTAVERSENY, KLUBKÖZI TÁNCVERSENYEK - Junior I D LAT 2018.05.05",2018.05.05,Budapest
6238,"Pro-Art Kistelek Kupa, Felnőtt Ifjúsági Latin, Junior Tíztánc, Senior Latin, Profi Standard Ranglista - Ifjúsági E LAT 2019.03.09",2019.03.09,Kistelek
6239,I. Nyíri Lajos Emlékverseny és U21 Tíztánc Magyar Bajnokság - MB U21 Tíztánc 2016.12.11,2016.12.11,Békéscsaba
6240,"Tíztánc-, Nyolctánc Magyar Bajnokságok - Junior II E LAT 2025.03.08",2025.03.08,Kiskunmajsa Aréna
6241,30. Bem kupa 2 - F-B-LAT 2019.05.12,2019.05.12,Budapest
6242,"VIII. FORMA KUPA C Osztályos Országos Bajnokság - Felnőtt ""D"" LAT 2014.12.06",2014.12.06,Algyő
6243,26. Bem kupa - Ifjúsági-Felnőtt B Standard 2017.04.29,2017.04.29,Mogyoród
6244,Hungarian Open - Felnőtt C Standard 2017.11.11,2017.11.11,Budapest
6245,XII Ametiszt Kupa - Felnőtt E LAT 2016.10.16,2016.10.16,Kaposvár
6246,VIII. Kner Kupa- C és B Tíztánc OB és Klubközi Táncverseny - Szabadidősport Junior II. LAT szóló 2015.04.11,2015.04.11,Mezőtúr
6247,Kelet-Magyarország Területi Bajnokság - Szóló Junior E Standard 2023.02.25,2023.02.25,"4060 Balmazújváros, Kastélykert utca 3"
6248,XIII. Hatvan Kupa - Junior II E LAT 2021.08.28,2021.08.28,"3000. Hatvan, Balassi Bálint út 2"
6249,"Szigo Kupa- Felnőtt-Ifjúsági Tíztánc, Junior Latin és Senior Standard Ranglista- és Klubközi Verseny - Junior I D Standard 2015.05.30",2015.05.30,Komló
6250,"ISIS DANCE OPEN-Felnőtt-Ifjúsági-Senior Tíztánc, Junior Standard,  Professional Latin - Gyermek II E Standard 2019.10.19",2019.10.19,"Szombathely, AGORA Művelődési és Sportház"
6251,XIII. Ametiszt Kupa - Felnőtt E Standard 2017.12.03,2017.12.03,Kaposvár
6252,VII. Danza Kupa - Felnőtt E LAT 2017.03.19,2017.03.19,Budapest
6253,"Felnőtt-Ifjúsági Standard, Junior Tíztánc, Senior Standard, Profi Latin RL - Junior I C Standard 2023.12.09",2023.12.09,SC Csongrád Sághy Mihály Technikum
6254,"Felnőtt-Ifjúsági-Senior standard,Junior tíztánc,Profi latin ranglista, Klubközi táncverseny - Ifjúsági D Standard 2022.09.24",2022.09.24,6640 Csongrád Gyöngyvirág utca 16
6255,XII. Kistelek Open - Gyermek I E Standard 2015.09.19,2015.09.19,Kistelek
6256,B-A-S és Senior Open Országos Bajnokság és Klubközi táncverseny - OB Junior II B Standard 2023.11.25,2023.11.25,"1213 Budapest, Hollandi út 8"
6257,"E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság - OB Junior I E Standard 2023.09.09",2023.09.09,"Csömör, Major út 7-9."
6258,"Felnőtt-Ifjúsági Tíztánc, Junior Standard, Senior Tíztánc és Professzinális Latin Ranglistaverseny, E Hattánc és D Nyolctánc Országos Bajnokság és Klubközi táncverseny - OB Senior I D 8T 2019.02.23",2019.02.23,Hajdúnánás
6259,"Lászlóvill Kupa Felnőtt-Ifjúsági Latin, Junior Tíztánc, Senior Latin és Professzionista Standard Ranglista és Klubközi Táncverseny - Ifjúsági C Standard 2018.03.24",2018.03.24,Székesfehérvár
6260,Botafogo Kupa - C Országos Bajnokság - OB Senior I C LAT 2021.11.20,2021.11.20,Üllői Sport és Szabadidő Központ
6261,"C Országos Bajnokság, U21 Standard és Latin Magyar Bajnokság és Klubközi Verseny - Gyermek I E LAT 2015.11.14",2015.11.14,Nyíradony
6262,Nyugat- Magyarország Területi Bajnokság -  Felnőtt C Standard 2020.03.07,2020.03.07,7400 Kaposvár Arany János út 97
6263,Kelet-Magyarország Területi Bajnokság - TB Felnőtt S LAT 2016.03.12,2016.03.12,Nyíradony
6264,VIII. Eraklin Kupa Klubközi és Cséplő Dániel Emlékkupa Szabadidős Táncverseny - Ifjúsági E Standard 2018.11.11,2018.11.11,Nagykanizsa
6265,"E OB, U21 10 Tánc MB és Klubközi Verseny - Senior III D LAT 2024.09.07",2024.09.07,"Csömöri Sportcsarnok 2141. Csömör, Major út 7-9"
6266,SZILVER Kupa Klubközi Táncverseny - Junior II C Standard 2023.06.03,2023.06.03,"5440 Kunszentmárton, Kossuth Lajos utca 40"
6267,"Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi Verseny - Felnőtt ""E"" LAT 2014.05.17",2014.05.17,Hajdúböszörmény
6268,Szigo Kupa - Ifjúsági E Standard 2023.04.01,2023.04.01,"Siklós, Gyűdi út 2"
6269,"C és B Tíztánc, E Hattánc, D Nyolctánc OB és Klubközi Táncverseny - Szóló Ifjúsági E LAT 2022.04.09",2022.04.09,7400 Kaposvár Arany János u. 97
6270,Balaton Summer Táncverseny - Szóló Junior II. D LAT 2024.08.11,2024.08.11,"8700 Marcali, Park utca 16"
6271,SAVARIA Nemzetközi Táncverseny - Ifjúsági D Standard 2024.12.15,2024.12.15,"9700 Szombathely, Rohonci út 3"
6272,TáncSport Magyar Bajnokságok klubközi versenyei - Junior II D LAT 2024.03.24,2024.03.24,"Ludovika Aréna, 1089 Diószegi Sámuel u 25"
6273,Szőke Tisza 2018. Klubközi Táncverseny - Junior I D Standard 2018.06.16,2018.06.16,Szeged
6274,XX. Gála Kupa Klubközi Táncverseny - Junior II D Standard 2018.10.21,2018.10.21,Zalaegerszeg
6275,Balaton Summer Táncverseny - Gyermek II E LAT 2024.08.11,2024.08.11,"8700 Marcali, Park utca 16"
6276,ISIS DANCE OPEN - Ranglista Junior  Standard 2021.10.23,2021.10.23,"Szombathely, Március 15.tér 5"
6277,X. FEKETE SAS KUPA - Felnőtt B Standard 2015.11.28,2015.11.28,Hódmezővásárhely
6278,II. Fonyód Kupa - Felnőtt-Senior I D Standard 2016.06.12,2016.06.12,Fonyód
6279,XIV. Kistelek Open - Gyermek II BASIC Standard 2017.09.24,2017.09.24,Kistelek
6280,Ametiszt Kupa - Junior I E Standard 2024.11.23,2024.11.23,7400 Kaposvár Arany János út 97
6281,V. Sundance Kupa C és B Tíztánc OB - Junior II E LAT 2024.04.06,2024.04.06,"6500 Baja, Duna utca 33"
6282,Szigo Kupa - Junior II D LAT 2018.06.02,2018.06.02,Siklós
6283,MTÁSZ E Országos Bajnokság és Klubközi Verseny - Felnőtt C Standard 2016.10.01,2016.10.01,Csömör
6284,Pest Megyei Régió Területi Bajnokság - TB Felnőtt B STT 2015.03.07,2015.03.07,Csömör
6285,SZILVER Kupa Klubközi Táncverseny - Felnőtt E LAT 2023.06.03,2023.06.03,"5440 Kunszentmárton, Kossuth Lajos utca 40"
6286,II. Spirit Kupa WDSF Felnőtt Latin Világkupa - Junior II C STT 2022.04.02,2022.04.02,"Kiskunmajsa Aréna, 6120 Kiskunmajsa, Iskola utca 1"
6287,Kelet-Magyarország Területi Bajnokság - TB Ifjúsági E LAT 2016.03.12,2016.03.12,Nyíradony
6288,Kelet-Magyarország Területi Bajnokság - Senior III E LAT 2021.03.06,2021.03.06,5440 Kunszentmárton Kossuth út 40
6289,Hungarian Open - Senior I-II E Standard 2017.11.11,2017.11.11,Budapest
6290,B-A-S és Senior Open Országos Bajnokság és Klubközi táncverseny - OB Felnőtt B Standard 2023.11.25,2023.11.25,"1213 Budapest, Hollandi út 8"
6291,DanceNet Kupa - Junior II E Standard 2022.12.03,2022.12.03,"Csömör, Major út 7-9"
6292,VI. Eraklin Kupa - Junior I E LAT 2016.11.19,2016.11.19,Nagykanizsa
6293,III. Danza Kupa - Gyermek I-II E Standard 2015.04.19,2015.04.19,Budapest
6294,Balaton Summer Táncverseny - Szóló Ifjúsági D LAT 2023.08.10,2023.08.10,"Marcali, Park utca 16"
6295,Budapesti Területi Bajnokság - TB Junior II C LAT 2019.03.02,2019.03.02,Csömör
6296,C és B Tíztánc OB és klubközi Táncverseny - OB Senior III C Tíztánc 2021.08.21,2021.08.21,7400 Kaposvár Arany János út 97
6297,"B-A-S Országos Bajnokság, Senior Open Országos Bajnokság - OB Felnőtt B LAT 2016.12.10",2016.12.10,Békéscsaba
6298,MTÁSZ Pest-megyei Régió Bajnokság - TB Junior I D Standard 2018.03.03,2018.03.03,Csömör
6299,-  0000.00.00,0000.00.00,
6300,"E OB, U21 Tíztánc MB és Klubközi Verseny - OB Junior I E LAT 2022.09.10",2022.09.10,"Csömör, Major út 7-9"
6301,VII. Danza Kupa - Gyermek II D Standard 2017.03.19,2017.03.19,Budapest
6302,XVI. Kistelek Open - Junior I C Standard 2019.09.29,2019.09.29,Kistelek
6303,XXI. Zánkai Táncfesztivál - Junior I E Standard 2015.08.25,2015.08.25,Zánka
6304,"E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság és Klubközi Verseny - OB Junior I E LAT 2020.09.12",2020.09.12,"2146. Mogyoród, Iskola út 5"
6305,29. Bem kupa - Gyermek II E Standard 2018.12.09,2018.12.09,Mogyoród
6306,-  0000.00.00,0000.00.00,
6307,"iDance X - Felnőtt-Ifjúsági Standard, Junior Tíztánc, Senior Standard és Professzionista Latin Ranglistaversen,és Klubközi Táncverseny - Ifjúsági C Standard 2018.05.26",2018.05.26,Kozármisleny
6308,"VIII. Gemenc Kupa E 6Tánc, D 8Tánc OB és U21 Tíztánc Magyar Bajnokság - Ifjúsági ""D"" Nyolctánc 2014.03.29",2014.03.29,Tolna
6309,IV. Sundance Kupa E hattánc D Nyolctánc OB - Junior I C Standard 2021.05.08,2021.05.08,6440 Jánoshalma Bernáth Zoltán utca 1
6310,IV. C&M Kupa - Felnõtt D LAT 2019.11.09,2019.11.09,"8600 Siófok, Szépvölgyi út 2"
6311,V. Danza Kupa - Junior I D LAT 2016.05.08,2016.05.08,Budapest
6312,"ISIS DANCE OPEN Felnőtt, Ifjúsági Latin és Junior Tíztánc Ranglista és Klubközi Verseny - Junior I. ""C"" LAT 2014.10.19",2014.10.19,Szombathely
6313,"Lászlóvill Kupa RL, Klubközi Táncverseny - F-C-LAT 2019.05.18",2019.05.18,Székesfehérvár
6314,"IX. Gemenc Kupa - Junior I. ""C"" Standard 2014.11.09",2014.11.09,Tolna
6315,"iDance2017 - Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi táncverseny - Ifjúsági B LAT 2017.05.20",2017.05.20,Kozármisleny
6316,"Felnőtt-Ifjúsági Tíztánc, Junior Standard Ranglista - Ifjúsági B LAT 2017.10.21",2017.10.21,Szombathely
6317,I. C&M KUPA - Felnőtt D LAT 2016.10.02,2016.10.02,Siófok
6318,X. Gemenc Kupa - Ifjúsági E LAT 2015.03.22,2015.03.22,Tolna
6319,XI. Kner Kupa- Klubközi és Szabadidősport Táncverseny - Junior II Középhaladó páros Standard 2019.03.24,2019.03.24,Mezőtúr
6320,XVII. Hatvan Kupa - Junior I D LAT 2025.04.12,2025.04.12,"3000. Hatvan, Balassi Bálint út"
6321,"E hattánc Országos Bajnokság, D nyolctánc Országos Bajnokság és klubközi versenyek - OB Felnőtt D 8T 2017.03.04",2017.03.04,Baja
6322,XI. Ametiszt kupa - Felnőtt C Standard 2015.10.10,2015.10.10,Kaposmérő
6323,"Lászlóvill Kupa Felnőtt-Ifjúsági Standard, Junior Tíztánc Ranglista és Klubközi Verseny - Junior II C Standard 2017.04.23",2017.04.23,Székesfehérvár
6324,XII Ametiszt Kupa - Junior I E LAT 2016.10.16,2016.10.16,Kaposvár
6325,XI. Eraklin Kupa- D Országos Bajnokság - Junior II C LAT 2022.10.08,2022.10.08,"8800 Nagykanizsa, Táborhely u. 4"
6326,VIII. Kner Kupa- C és B Tíztánc OB és Klubközi Táncverseny - Junior I E LAT 2015.04.11,2015.04.11,Mezőtúr
6327,Spirit Kupa C-B Tíztánc Országos Bajnokságok és klubközi verseny - Szóló Junior I. E LAT 2025.03.09,2025.03.09,Kiskunmajsa Aréna
6328,XVI. Kistelek Open - WDSF SENIOR I OPEN STANDARD 2019.09.29,2019.09.29,Kistelek
6329,Kelet-Magyarország Területi Bajnokság - TB Senior I E Standard 2018.03.03,2018.03.03,Szentes
6330,"iDance Kupa 2014 Felnőtt, Ifjúsági Tíztánc és Junior Latin Ranglista - Junior II. ""C"" LAT 2014.11.08",2014.11.08,Pécs
6331,TáncSport Magyar Bajnokságok 2017 - Felnőtt LAT Magyar Bajnokság 2017.02.05,2017.02.05,Szigetszentmiklós
6332,Közép-Magyarország Területi Bajnokság - Szóló Felnőtt D LAT 2023.02.26,2023.02.26,"Csömör, Major út 7-9"
6333,"IX. Forma Kupa, D Országos Bajnokság - OB Junior I D Standard 2015.11.07",2015.11.07,Algyő
6334,Kelet-Magyarország TB - TB Felnőtt S LAT 2025.03.01,2025.03.01,"Kunszentmárton, Kossuth Lajos utca 40"
6335,C és B Tíztánc Országos Bajnokság és Klubközi Táncverseny - Junior I E LAT 2019.03.23,2019.03.23,Kozármisleny
6336,TáncSport Magyar Bajnokságok 2016 / WDSF HUNGARIAN DANCE OPEN - MB Senior II LAT 2016.02.13,2016.02.13,Szigetszentmiklós
6337,Kelet-Magyarország Területi Bajnokság - Junior II C Standard 2022.02.19,2022.02.19,"4060 Balmazújváros, Kastélykert utca 2"
6338,-  0000.00.00,0000.00.00,
6339,"III. FULLDANCE KUPA OPEN FORMÁCIÓS RANGLISTA, RISING STAR STANDARD-LATIN ÉS KLUBKÖZI TÁNCVERSENY - Junior II E Standard 2016.04.16",2016.04.16,Tápiószentmárton
6340,Hungarian Open - Ifjúsági D Standard 2018.10.14,2018.10.14,Budapest
6341,"E OB, U21 tíztánc MB és klubközi táncverseny - OB Gyermek I E LAT 2021.09.11",2021.09.11,"7761 Kozármisleny, Alkotmány tér 53"
6342,"IV.Eraklin Kupa - Ifjúsági ""B"" LAT 2014.09.20",2014.09.20,Nagykanizsa
6343,Közép-Magyarország Területi Bajnokság - Gyermek II E LAT 2021.03.07,2021.03.07,"Csömör, Major út 7-9"
6344,"iDance X - Felnőtt-Ifjúsági Standard, Junior Tíztánc, Senior Standard és Professzionista Latin Ranglistaversen,és Klubközi Táncverseny - Gyermek II E LAT 2018.05.26",2018.05.26,Kozármisleny
6345,"XIV. RexTerra Kupa, Ranglista és klubközi versenyek - Ranglista Junior  10T 2019.11.30",2019.11.30,6400 Kiskunhalas Kossuth utca 23
6346,Nyugat- Magyarország Területi Bajnokság -  Junior II D LAT 2020.03.07,2020.03.07,7400 Kaposvár Arany János út 97
6347,TáncSport Magyar Bajnokságok klubközi versenyei - Gyermek II D LAT 2024.03.24,2024.03.24,"Ludovika Aréna, 1089 Diószegi Sámuel u 25"
6348,Szőke Tisza 2018. Klubközi Táncverseny - Felnőtt E Standard 2018.06.16,2018.06.16,Szeged
6349,DanceNet Kupa - Felnőtt D LAT 2025.01.25,2025.01.25,"Csömöri Sportcsarnok,Csömör, Major út 7-9"
6350,"C és B Tíztánc, E Hattánc, D Nyolctánc OB és Klubközi Táncverseny - Junior I E LAT 2022.04.09",2022.04.09,7400 Kaposvár Arany János u. 97
6351,"I. Danza Kupa - Junior I. ""D"" LAT 2014.06.28",2014.06.28,Budapest
6352,Szigo Kupa - Junior II D LAT 2023.04.01,2023.04.01,"Siklós, Gyűdi út 2"
6353,"Felnőtt-Ifjúsági Tíztánc, Junior Latin, Senior Standard Ranglista és Klubközi Verseny - Junior II. ""E"" Standard 2014.05.17",2014.05.17,Hajdúböszörmény
6354,"E OB, U21 10 Tánc MB és Klubközi Verseny - Junior II D Standard 2024.09.07",2024.09.07,"Csömöri Sportcsarnok 2141. Csömör, Major út 7-9"
6355,Kelet-Magyarország Területi Bajnokság - Senior III D STT 2021.03.06,2021.03.06,5440 Kunszentmárton Kossuth út 40
6356,Kelet-Magyarország Területi Bajnokság - TB Ifjúsági C Standard 2016.03.12,2016.03.12,Nyíradony
6357,VIII. Eraklin Kupa Klubközi és Cséplő Dániel Emlékkupa Szabadidős Táncverseny - Junior I C Standard 2018.11.11,2018.11.11,Nagykanizsa
6358,"Közép-Magyarország TerületiBajnokság, Kerekesszékes MB -  Senior III C Standard 2020.03.07",2020.03.07,"2141.Csömör, Major út 7-9"
6359,iDanceFesztivál2015 - Gyermek II D Standard 2015.11.15,2015.11.15,Pécs
6360,XIV. Kistelek Open - WDSF OPEN LATIN YOUTH 2017.09.23,2017.09.23,Kistelek
6361,Pest Megyei Régió Területi Bajnokság - TB Felnőtt D LAT 2015.03.07,2015.03.07,Csömör
6362,"B-A-S Osztályos, Senior Open Országos Bajnokság - OB Junior I B LAT 2021.11.27",2021.11.27,"5600 Békéscsaba, Széchenyi u. 4"
6363,"Lászlóvill Kupa Felnőtt-Ifjúsági Latin, Junior Tíztánc, Senior Latin és Professzionista Standard Ranglista és Klubközi Táncverseny - Junior II D Standard 2018.03.24",2018.03.24,Székesfehérvár
6364,XXI. Gála Kupa - Junior II E LAT 2019.10.27,2019.10.27,"Zalakerámia Sport- és Rendezvénycsarnok, Zalaegers"
6365,Közép-Magyarország TB - Szóló Senior E LAT 2025.03.02,2025.03.02,"Csömöri Sportcsarnok,Csömör, Major út 7-9"
6366,"E Országos Bajnokság, U21 10 Tánc Magyar Bajnokság - Ifjúsági C Standard 2023.09.09",2023.09.09,"Csömör, Major út 7-9."
6367,"Felnőtt-Ifjúsági Tíztánc, Junior Standard, Senior Tíztánc és Professzinális Latin Ranglistaverseny, E Hattánc és D Nyolctánc Országos Bajnokság és Klubközi táncverseny - Ifjúsági D LAT 2019.02.23",2019.02.23,Hajdúnánás
6368,XII. Kistelek Open - Senior Tíztánc Ranglista 2015.09.19,2015.09.19,Kistelek
6369,Zala Open és Formációs Magyar Bajnokság - Formáció Felnőtt Lányformáció LAT 2022.10.01,2022.10.01,8900 Zalaegerszeg Stadion u 3
6370,"Felnőtt-Ifjúsági Standard, Junior Tíztánc, Senior Standard, Profi Latin RL - Szóló Gyermek E LAT 2023.12.09",2023.12.09,SC Csongrád Sághy Mihály Technikum
6371,VII. Eraklin Kupa - Junior I E Standard 2017.12.09,2017.12.09,Nagykanizsa
6372,XVI. Kistelek Open - Junior II European Children Grand Prix LAT 2019.09.28,2019.09.28,Kistelek
6373,VII. Danza Kupa - Felnőtt C LAT 2017.03.19,2017.03.19,Budapest
6374,"Szigo Kupa- Felnőtt-Ifjúsági Tíztánc, Junior Latin és Senior Standard Ranglista- és Klubközi Verseny - Felnőtt E Standard 2015.05.30",2015.05.30,Komló
6375,"ISIS DANCE OPEN-Felnőtt-Ifjúsági-Senior Tíztánc, Junior Standard,  Professional Latin - Ifjúsági E Standard 2019.10.19",2019.10.19,"Szombathely, AGORA Művelődési és Sportház"
6376,C és B Tíztánc OB és klubközi Táncverseny - OB Senior IV C Tíztánc 2021.08.21,2021.08.21,7400 Kaposvár Arany János út 97
6377,Kelet-Magyarország Területi Bajnokság - Szóló Ifjúsági E LAT 2023.02.25,2023.02.25,"4060 Balmazújváros, Kastélykert utca 3"
6378,XVI. Kistelek Open - Junior I E Standard 2019.09.29,2019.09.29,Kistelek
6379,XXI. Zánkai Táncfesztivál - Senior Szabadidős Standard 2015.08.24,2015.08.24,Zánka
6380,"E OB, U21 Tíztánc MB és Klubközi Verseny - OB Senior I E Standard 2022.09.10",2022.09.10,"Csömör, Major út 7-9"
6381,Kelet-Magyarország Területi Bajnokság - Gyermek II. Közép-Haladó LAT 2023.02.25,2023.02.25,"4060 Balmazújváros, Kastélykert utca 3"
6382,"B-A-S Országos Bajnokság, Senior Open Országos Bajnokság - OB Junior I B LAT 2016.12.10",2016.12.10,Békéscsaba
6383,Nyugat- Magyarország Területi Bajnokság - TB Felnőtt B Standard 2018.03.03,2018.03.03,Kaposvár
6384,Balaton Summer Táncverseny - Ifjúsági C LAT 2023.08.10,2023.08.10,"Marcali, Park utca 16"
6385,Budapesti Területi Bajnokság - TB Felnőtt E Standard 2019.03.02,2019.03.02,Csömör
6386,III. Danza Kupa - Junior II D Standard 2015.04.19,2015.04.19,Budapest
6387,DanceNet Kupa - Ifjúsági D Standard 2022.12.03,2022.12.03,"Csömör, Major út 7-9"
6388,B-A-S és Senior Open Országos Bajnokság és Klubközi táncverseny - Felnőtt E Standard 2023.11.25,2023.11.25,"1213 Budapest, Hollandi út 8"
6389,"XII FORMA kupa Felnőtt-Ifjúsági Standard, Junior Tíztánc Ranglista Professzionista Latin Ranglistaverseny - RL Felnőtt Standard 2017.11.12",2017.11.12,Algyő
6390,Nyugat- Magyarország Területi Bajnokság - Gyermek II E LAT 2021.03.06,2021.03.06,7400 Kaposvár Arany János út 97
6391,II. Spirit Kupa WDSF Felnőtt Latin Világkupa - Gyermek II E LAT 2022.04.02,2022.04.02,"Kiskunmajsa Aréna, 6120 Kiskunmajsa, Iskola utca 1"
6392,SZILVER Kupa Klubközi Táncverseny - Gyermek II D LAT 2023.06.03,2023.06.03,"5440 Kunszentmárton, Kossuth Lajos utca 40"
6393,Pest Megyei Régió Területi Bajnokság - TB Senior III C LAT 2015.03.07,2015.03.07,Csömör
6394,Kelet-Magyarország Területi Bajnokság - Gyermek II E Standard 2022.02.19,2022.02.19,"4060 Balmazújváros, Kastélykert utca 2"
6395,V. Sundance Kupa C és B Tíztánc OB - Ifjúsági E LAT 2024.04.06,2024.04.06,"6500 Baja, Duna utca 33"
6396,Szigo Kupa - Junior II B LAT 2018.06.02,2018.06.02,Siklós
6397,MTÁSZ E Országos Bajnokság és Klubközi Verseny - OB Ifjúsági E LAT 2016.10.01,2016.10.01,Csömör
6398,XIV. Kistelek Open - Junior I European Children Grand Prix Standard 2017.09.24,2017.09.24,Kistelek
6399,Ametiszt Kupa - Junior II C LAT 2024.11.23,2024.11.23,7400 Kaposvár Arany János út 97
6400,TáncSport Magyar Bajnokságok klubközi versenyei - Szóló Felnőtt C LAT 2024.03.24,2024.03.24,"Ludovika Aréna, 1089 Diószegi Sámuel u 25"
6401,"B, A, S Országos Bajnokság Senior Open Országos Bajnokság - OB Junior II B Standard 2015.12.05",2015.12.05,Békéscsaba
