id,title,date,location
1564,"II. Pro-Art Grand Prix U21 Standard MB - Ifjúsági ""C"" LAT 2014.09.13",2014.09.13,Kistelek
1565,Kelet-Magyarország Területi Bajnokság - TB Felnőtt D STT 2015.03.07,2015.03.07,Nyíradony
1566,XVI. FEKETE SAS KUPA - Felnőtt E LAT 2021.11.06,2021.11.06,"6800 HÓDMEZŐVÁSÁRHELY, KOSSUTH TÉR 3"
1567,-  0000.00.00,0000.00.00,
1568,"Felnőtt - Ifjúsági Standard, Junior Tíztánc és Professzionista Latin Ranglista Táncverseny - RL Junior Tíztánc 2015.12.12",2015.12.12,Szentes
1569,II. C&M KUPA - Junior I E LAT 2017.10.08,2017.10.08,Siófok
1570,"Felnőtt-Ifi latin, Junior standard, Senior latin, Profi standard - Junior II D Standard 2022.04.24",2022.04.24,"9700, Március 15. tér 5"
1571,"TáncSport Magyar Bajnokság, C és B Tíztánc Országos Bajnokság - Szóló Junior D LAT 2023.04.15",2023.04.15,"1213 Budapest, Hollandi út 8"
1572,"Felnőtt-Ifjúsági standard, Junior latin, Senior standard RL, C OB és Klubközi Táncverseny - Felnőtt D Standard 2020.11.08",2020.11.08,"4029 Debrecen,Monti ezredes u. 3"
1573,XXIV.Zánkai Táncfesztivál - Junior II C LAT 2018.08.18,2018.08.18,Zánka
1574,Közép-Magyarország Területi Bajnokság - Szóló Ifjúsági E LAT 2024.03.03,2024.03.03,"Csömör, Major út 7-9"
1575,XXII. ZÁNKAI TÁNCFESZTIVÁL - Ifjúsági C Standard 2016.08.27,2016.08.27,Zánka
1576,II. C&M KUPA - Felnőtt-Senior I. E LAT 2017.10.08,2017.10.08,Siófok
1577,SAVARIA Nemzetközi Táncverseny - Junior I D Standard 2024.12.14,2024.12.14,"9700 Szombathely, Rohonci út 3"
1578,Kelet-Magyarország Területi Bajnokság - TB Senior II C STT 2015.03.07,2015.03.07,Nyíradony
1579,XVI. FEKETE SAS KUPA - Junior II D Standard 2021.11.06,2021.11.06,"6800 HÓDMEZŐVÁSÁRHELY, KOSSUTH TÉR 3"
1580,Botafogo Kupa - C Országos Bajnokság - Felnőtt B LAT 2021.11.20,2021.11.20,Üllői Sport és Szabadidő Központ
1581,"Nyolctánc, Tíztánc Magyar Bajnokság - Junior II C Standard 2024.04.20",2024.04.20,"9700 Szombathely, Március 15 tér 5"
1582,XXXVI. DanceNet Kupa - Junior II E Standard 2015.11.08,2015.11.08,Csömör
1583,35. Bem kupa - Felnőtt A LAT 2024.09.28,2024.09.28,"Zrínyi Miklós Gimnázium Budapest, Mádi u. 173"
1584,III. C&M Kupa - Felnőtt E LAT 2018.10.28,2018.10.28,Siófok
1585,XXIII. Gála Kupa Táncverseny és ParaDance Magyar Bajnokság - Junior II B LAT 2022.10.02,2022.10.02,8900 Zalaegerszeg Stadion u 3
1586,Szoke Tisza 2019. Klubközi Nemzetközi Táncverseny - Felnőtt E Standard 2019.06.15,2019.06.15,Szeged
1587,XII. Kistelek Open - Juvenie I-II / Gyermek I-II Basic LAT 2015.09.20,2015.09.20,Kistelek
1588,XI. FEKETE SAS KUPA - Ifjúsági B Standard 2016.11.20,2016.11.20,Hódmezővásárhely
1589,II. Tavaszváró Táncverseny - Felnőtt C LAT 2018.04.07,2018.04.07,Nyíregyháza
1590,Kelet Magyarország Területi Bajnokság - TB Ifjúsági B Standard 2019.03.02,2019.03.02,Kunszentmárton
1591,Balaton Summer Táncverseny - Felnőtt E Standard 2023.08.13,2023.08.13,"Marcali, Park utca 16"
1592,"Senior-Felnőtt-Ifjúsági Tíztánc, Profi Latin Ranglista és Klubközi Táncverseny - Felnőtt E Standard 2023.02.18",2023.02.18,Hódmezővásárhelyi SZC Csongrádi Sághy Mihály Techn
1593,Kelet-Magyarország Területi Bajnokság - TB Gyermek II D LAT 2023.02.25,2023.02.25,"4060 Balmazújváros, Kastélykert utca 3"
1594,23. Bem Kupa - Junior II D Standard 2015.05.17,2015.05.17,Budapest
1595,DanceNet Kupa - Senior II C LAT 2023.12.17,2023.12.17,"Csömör, Major út 7-9"
1596,"B-A-S Országos Bajnokság, Senior Open Országos Bajnokság - OB Felnőtt B Standard 2017.12.02",2017.12.02,Békéscsaba
1597,"IX. Kner Kupa - Felnőtt-Ifjúsági Latin, Junior Standard Ranglista Professzionista Standard Ranglista és klubközi táncverseny - Ifjúsági D LAT 2016.04.09",2016.04.09,Mezőtúr
1598,Szabadidősport Kelet Magyarország Területi Bajnoksága - Gyerek 0. Cha-Cha-Cha 2014.10.11,2014.10.11,Mezőberény
1599,XIV. Ametiszt Kupa - Junior II C LAT 2019.11.23,2019.11.23,7400 Kaposvár Arany János út 97
1600,"Botafogo Kupa, U21 STT, LAT és  Kűr Magyar Bajnokságok - Ifjúsági E LAT 2024.04.28",2024.04.28,"1213 Budapest, Hollandi út 8"
1601,XIII. FEKETE SAS KUPA - Junior-Ifjúsági középhaladó latin szóló 2018.11.18,2018.11.18,Hódmezővásárhely
1602,Nyugat- Magyarország Területi Bajnokság - Junior I E STT 2021.03.06,2021.03.06,7400 Kaposvár Arany János út 97
1603,"VILÁGTÁNCFESZTIVÁL - FELNŐTT-IFJÚSÁGI LATIN, JUNIOR STANDARD, SENIOR LATIN, PROFESSZIONISTA STANDARD RANGLISTAVERSENY, KLUBKÖZI TÁNCVERSENYEK - Junior I E Standard 2018.05.05",2018.05.05,Budapest
1604,Tíztánc MB. Nyolctánc MB. - MB Junior I Tíztánc 2019.02.09,2019.02.09,Szentes
1605,"E Hattánc Országos Bajnokság, D Nyolctánc Országos Bajnokság - OB Felnőtt E 6T 2016.03.06",2016.03.06,Komló
1606,"XV. Kistelek Open, Felnőtt-Ifjúsági Tíztánc, Junior Latin Ranglista és Klubközi Verseny - Ifjúsági C Standard 2018.09.23",2018.09.23,Kistelek
1607,-  0000.00.00,0000.00.00,
1608,"XIII. Eraklin Kupa- D Országos Bajnokság, Cséplő Dániel Emlékkupa - Junior I C Standard 2024.10.05",2024.10.05,"8800 Nagykanizsa, Táborhely u. 4"
